package_name,desc,long_desc,Depends,Suggests,Imports,Inviews,Version,License,Enhances
A3,"A3: Accurate, Adaptable, and Accessible Error Metrics for Predictive Models",This package supplies tools for tabulating and analyzing the results of predictive models. The methods employed are applicable to virtually any predictive model and make comparisons between different methodologies straightforward.,"R (≥ 2.15.0), xtable, pbapply","randomForest, e1071",,,0.9.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
abc,Tools for Approximate Bayesian Computation (ABC),"The package implements several ABC algorithms for performing parameter estimation and model selection. Cross-validation tools are also available for measuring the accuracy of ABC estimates, and to calculate the misclassification probabilities of different models.","R (≥ 2.10), nnet, quantreg, MASS",,,Bayesian,1.8,GPL (≥ 3),
abcdeFBA,ABCDE_FBA: A-Biologist-Can-Do-Everything of Flux Balance Analysis with this package,Functions for Constraint Based Simulation using Flux Balance Analysis and informative analysis of the data generated during simulation.,"Rglpk, rgl, corrplot, lattice, R (≥ 2.10)","LIM, sybil",,,0.4,GPL-2,
ABCExtremes,ABC Extremes,"This package contains code to 1.) construct the summary statistic needed to facilitate approximate Bayesian computing for spatial extremes, and then 2.) run the ABC-Rejection method to produce a set of draws from the ABC posterior.  The intention is for the user to directly modify the command >abc.rej() to suit his or her purposes.  In general, ABC fitting of max-stable processes is very computationally expensive, and requires advanced programming skills with research computing.","SpatialExtremes, combinat",,,,1.0,GPL-2,
ABCoptim,Implementation of Artificial Bee Colony (ABC) Optimization,"An implementation of Karaboga (2005) Artificial Bee Colony Optimization algorithm. This (working) version is a Work-in-progress, which is why it has been implemented using pure R code. This was developed upon the basic version programmed in C and distributed at the algorithm's official website.",,,,,0.13.11,GPL (≥ 3),
ABCp2,Approximate Bayesian Computational model for estimating P2,"This package tests the goodness of fit of a distribution of offspring to the Normal, Poisson, and Gamma distribution and estimates the proportional paternity of the second male (P2) based on the best fit distribution.",MASS,,,,1.1,GPL-2,
abctools,Tools for ABC analyses,Tools for approximate Bayesian computation including summary statistic selection and assessing coverage,"R (≥ 2.10), abc, abind, parallel, pls, plyr",ggplot2,,,0.2-2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
abd,The Analysis of Biological Data,"The abd package contains data sets and sample code for The Analysis of Biological Data by Michael Whitlock and Dolph Schluter (2009; Roberts & Company Publishers). Some examples utilize the manipulate package, which is available within RStudio (http://www.rstudio.com).","R (≥ 3.0), nlme, lattice, grid, mosaic","boot, car, ggplot2, plyr, HH, ICC, vcd, Hmisc, manipulate",,,0.2-6,GPL-2,
abf2,Load Axon ABF2 files (currently only in gap-free recording mode),"Loads ABF2 files containing (gap-free) data from electrophysiological recordings, as created by Axon Instruments/Molecular Devices software such as pClamp 10.",,,,,0.7-0,Artistic-2.0,
abind,Combine multi-dimensional arrays,"Combine multi-dimensional arrays into a single array. This is a generalization of cbind and rbind.  Works with vectors, matrices, and higher-dimensional arrays.  Also provides functions adrop, asub, and afill for manipulating, extracting and replacing data in arrays.",R (≥ 1.5.0),,,Multivariate,1.4-0,LGPL-2 | LGPL-2.1 | LGPL-3 [expanded from: LGPL (≥ 2)],
abn,Data Modelling with Additive Bayesian Networks,"Additive Bayesian network models are equivalent to Bayesian multivariate regression using graphical modelling. This library provides routines to help determine optimal Bayesian network models for a given data set, where these models are used to identify statistical dependencies in messy, complex data. The additive formulation of these models is equivalent to multivariate generalised linear modelling (including mixed models with iid random effects). The usual term to describe this model selection process is structure discovery. The core functionality is concerned with model selection - determining the most robust empirical model of data from interdependent variables. Laplace approximations are used to estimate goodness of fit metrics and model parameters, and wrappers are also included to the INLA library. A comprehensive set of documented case studies, numerical accuracy/quality assurance exercises, and additional documentation are available from the abn website.",R (≥ 2.15.1),"INLA, Rgraphviz, Cairo",,gR,0.83,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
abundant,Abundant regression and high-dimensional principal fitted components,Fit and predict with the high-dimensional principal fitted components model.,"R (≥ 2.10), QUIC",,,,1.0,GPL-2,
accelerometry,Functions for processing minute-to-minute accelerometer data,"This package contains a collection of functions that perform operations on time-series accelerometer data, such as identify non-wear time, flag minutes that are part of an activity bout, and find the maximum 10-minute average count value. The functions are generally very flexible, allowing for a variety of algorithms to be implemented. Most of the functions are written in C++ and therefore execute very quickly.",R (≥ 3.0.0),,Rcpp (≥ 0.11.0),,2.2.1,GPL-2,
AcceptanceSampling,Creation and evaluation of Acceptance Sampling Plans,"This package provides functionality for creating and evaluating acceptance sampling plans. Plans can be single, double or multiple sampling plans","methods, R (≥ 2.4.0), stats",,graphics,,1.0-3,GPL (≥ 3),
ACCLMA,ACC & LMA Graph Plotting,"The main function is plotLMA(sourcefile,header) that takes a data set and plots the appropriate LMA and ACC graphs. If no sourcefile (a string) was passed, a manual data entry window is opened. The header parameter indicates by TRUE/FALSE (false by default) if the source CSV file has a head row or not. The data set should contain only one independent variable (X) and one dependent varialbe (Y) and can contain a weight for each observation",,,,,1.0,GPL-2,
accrual,Bayesian Accrual Prediction,"Subject recruitment for medical research is challenging. Slow patient accrual leads to delay in research. Accrual monitoring during the process of recruitment is critical. Researchers need reliable tools to manage the accrual rate. We developed a Bayesian method that integrates researcher's experience on previous trials and data from the current study, providing reliable prediction on accrual rate for clinical studies. In this R package, we present functions for Bayesian accrual prediction which can be easily used by statisticians and clinical researchers.","R (≥ 2.8.0), tcltk",,"fgui, SMPracticals",,1.0,GPL-2,
accrued,Visualization tools for partially accruing data,Package for visualizing data quality of partially accruing time series.,"R (≥ 3.0), grid",,,,1.0,GPL-3,
ACD,Categorical data analysis with complete or missing responses,Categorical data analysis with complete or missing responses,R (≥ 2.13.0),,,,1.5.3,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
Ace,Assay-based Cross-sectional Estimation of incidence rates,The package contains functions for estimating incidence rate from assay-based cross-sectional studies,"R (≥ 2.9.0), stats",,,,0.0.8,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
acepack,ace() and avas() for selecting regression transformations,ACE and AVAS methods for choosing regression transformations.,,,,SocialSciences,1.3-3.3,MIT + file LICENSE,
acer,The ACER Method for Extreme Value Estimation,Implementation of the ACER method for estimating return levels of extreme values.,Rcpp,,,,0.1.2,GPL-3,
aCGH.Spline,Robust spline interpolation for dual color array comparative genomic hybridisation data,Spline fitting and interpolation,rJava,,,,2.2,GPL-2 | GPL-3 [expanded from: GPL (≥ 2)],
acm4r,Align-and-Count Method comparisons of RFLP data,"Fragment lengths or molecular weights from pairs of lanes are compared, and a number of matching bands are calculated using the Align-and-Count Method.",MASS,,,,1.0,GPL-2 | GPL-3 [expanded from: GPL],
ACNE,Affymetrix SNP probe-summarization using non-negative matrix factorization,Package for NMF summarization of SNP probes.,"R (≥ 2.15.0), aroma.affymetrix (≥ 2.11.0)",,"MASS, R.methodsS3 (≥ 1.5.2), R.oo (≥ 1.15.8), R.utils (≥ 1.27.1), matrixStats (≥ 0.8.12), R.filesets (≥ 2.3.0)",,0.7.0,LGPL-2.1 | LGPL-3 [expanded from: LGPL (≥ 2.1)],
